ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
597505885721210,109970322392972,"מפלגת הליכוד",2023-04-21,2023-04-21,2023-04-23,"מפלגת הליכוד","הימין מתעורר!🇮🇱💪
כולם מצטרפים לקבוצת הוואטסאפ של המחנה הלאומי ונשארים מעודכנים
הצטרפו עכשיו בקישור>>
https://tinyurl.com/leumi2023","המחנה הלאומי 7",chat.whatsapp.com,"הצטרפו עכשיו>>","lower_bound: 100000, upper_bound: 124999","lower_bound: 1500, upper_bound: 1999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000514},{""age"":""45-54"",""gender"":""female"",""percentage"":0.03294},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000865},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001596},{""age"":""55-64"",""gender"":""female"",""percentage"":0.034184},{""age"":""45-54"",""gender"":""male"",""percentage"":0.049762},{""age"":""35-44"",""gender"":""female"",""percentage"":0.062635},{""age"":""55-64"",""gender"":""male"",""percentage"":0.045408},{""age"":""65+"",""gender"":""female"",""percentage"":0.031588},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00092},{""age"":""35-44"",""gender"":""male"",""percentage"":0.047031},{""age"":""18-24"",""gender"":""female"",""percentage"":0.169407},{""age"":""18-24"",""gender"":""male"",""percentage"":0.094007},{""age"":""25-34"",""gender"":""female"",""percentage"":0.272555},{""age"":""25-34"",""gender"":""male"",""percentage"":0.121701},{""age"":""65+"",""gender"":""male"",""percentage"":0.034076},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000297},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000514}","{""region"":""Unknown"",""percentage"":0.000159},{""region"":""Southern District"",""percentage"":0.154436},{""region"":""Central District"",""percentage"":0.223879},{""region"":""Northern District"",""percentage"":0.250271},{""region"":""Heifa"",""percentage"":0.122676},{""region"":""Tel Aviv"",""percentage"":0.122412},{""region"":""Jerusalem"",""percentage"":0.126167}","facebook,instagram","lower_bound: 1000001",
768671891450493,109970322392972,"מפלגת הליכוד",2023-03-31,2023-03-31,2023-04-21,"מפלגת הליכוד","הימין מתעורר!🇮🇱💪
כולם מצטרפים לקבוצת הוואטסאפ של המחנה הלאומי ונשארים מעודכנים
הצטרפו עכשיו בקישור>>
https://did.li/LIKUDGROUP","המחנה הלאומי 9",chat.whatsapp.com,"הצטרפו עכשיו>>","lower_bound: 600000, upper_bound: 699999","lower_bound: 10000, upper_bound: 14999",ILS,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000375},{""age"":""45-54"",""gender"":""male"",""percentage"":0.082469},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001302},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000897},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002692},{""age"":""65+"",""gender"":""male"",""percentage"":0.056445},{""age"":""45-54"",""gender"":""female"",""percentage"":0.041811},{""age"":""55-64"",""gender"":""female"",""percentage"":0.042344},{""age"":""35-44"",""gender"":""male"",""percentage"":0.089904},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001864},{""age"":""65+"",""gender"":""female"",""percentage"":0.041831},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182431},{""age"":""55-64"",""gender"":""male"",""percentage"":0.074659},{""age"":""18-24"",""gender"":""female"",""percentage"":0.101028},{""age"":""18-24"",""gender"":""male"",""percentage"":0.086571},{""age"":""25-34"",""gender"":""male"",""percentage"":0.134003},{""age"":""35-44"",""gender"":""female"",""percentage"":0.058595},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000779}","{""region"":""Unknown"",""percentage"":6.5e-5},{""region"":""Southern District"",""percentage"":0.169673},{""region"":""Central District"",""percentage"":0.251596},{""region"":""Northern District"",""percentage"":0.18247},{""region"":""Heifa"",""percentage"":0.118096},{""region"":""Tel Aviv"",""percentage"":0.149712},{""region"":""Jerusalem"",""percentage"":0.128387}","facebook,instagram","lower_bound: 1000001",he
186583057467184,109970322392972,"מפלגת הליכוד",2023-03-30,2023-03-30,2023-03-31,"מפלגת הליכוד","הימין מתעורר!🇮🇱💪
כולם מצטרפים לקבוצת הוואטסאפ של המחנה הלאומי ונשארים מעודכנים
הצטרפו עכשיו בקישור>>
https://did.li/LIKUDGROUP","המחנה הלאומי 9",chat.whatsapp.com,"WhatsApp Group Invite","lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00086},{""age"":""65+"",""gender"":""male"",""percentage"":0.010748},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00215},{""age"":""55-64"",""gender"":""male"",""percentage"":0.010748},{""age"":""45-54"",""gender"":""male"",""percentage"":0.009458},{""age"":""65+"",""gender"":""female"",""percentage"":0.009888},{""age"":""35-44"",""gender"":""male"",""percentage"":0.011608},{""age"":""55-64"",""gender"":""female"",""percentage"":0.009458},{""age"":""25-34"",""gender"":""male"",""percentage"":0.066638},{""age"":""18-24"",""gender"":""male"",""percentage"":0.119518},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042562},{""age"":""25-34"",""gender"":""female"",""percentage"":0.282029},{""age"":""18-24"",""gender"":""female"",""percentage"":0.410146},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00043},{""age"":""45-54"",""gender"":""female"",""percentage"":0.012898},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00086}","{""region"":""Southern District"",""percentage"":0.164437},{""region"":""Central District"",""percentage"":0.223133},{""region"":""Northern District"",""percentage"":0.247303},{""region"":""Heifa"",""percentage"":0.144584},{""region"":""Tel Aviv"",""percentage"":0.135952},{""region"":""Jerusalem"",""percentage"":0.084592}","facebook,instagram","lower_bound: 1000001",he
1434575160374751,109970322392972,"מפלגת הליכוד",2022-09-15,2022-09-15,2022-09-15,"מפלגת הליכוד","לליכוד דרושים: מרפסות וחלונות בכל רחבי הארץ!
רוצים לתלות אצלכם שלט? לחצו כאן, השאירו פרטים ונביא לכם שלט עד הבית","השאירו פרטים ונביא לכם שלט עד הבית",fb.me,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,,,"facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
1497699447329715,109970322392972,"מפלגת הליכוד",2022-09-13,2022-09-13,2022-09-15,"מפלגת הליכוד","לליכוד דרושים: מרפסות וחלונות בכל רחבי הארץ!
רוצים לתלות אצלכם שלט? לחצו כאן, השאירו פרטים ונביא לכם שלט עד הבית","השאירו פרטים ונביא לכם שלט עד הבית",fb.me,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""55-64"",""gender"":""female"",""percentage"":0.02847},{""age"":""25-34"",""gender"":""male"",""percentage"":0.171166},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000346},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00251},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000692},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000692},{""age"":""25-34"",""gender"":""female"",""percentage"":0.024489},{""age"":""35-44"",""gender"":""male"",""percentage"":0.164417},{""age"":""45-54"",""gender"":""male"",""percentage"":0.1491},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000952},{""age"":""18-24"",""gender"":""male"",""percentage"":0.111976},{""age"":""18-24"",""gender"":""female"",""percentage"":0.019038},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029595},{""age"":""65+"",""gender"":""female"",""percentage"":0.022672},{""age"":""55-64"",""gender"":""male"",""percentage"":0.149273},{""age"":""65+"",""gender"":""male"",""percentage"":0.093112},{""age"":""35-44"",""gender"":""female"",""percentage"":0.028384},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003115}","{""region"":""Unknown"",""percentage"":0.004374},{""region"":""Southern District"",""percentage"":0.201304},{""region"":""Central District"",""percentage"":0.269749},{""region"":""Northern District"",""percentage"":0.129857},{""region"":""Heifa"",""percentage"":0.128227},{""region"":""Tel Aviv"",""percentage"":0.168882},{""region"":""Jerusalem"",""percentage"":0.097607}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
5134950093294564,109970322392972,"מפלגת הליכוד",2022-09-13,2022-09-13,2022-09-15,"מפלגת הליכוד","לליכוד דרושים: מרפסות וחלונות בכל רחבי הארץ!
רוצים לתלות אצלכם שלט? לחצו כאן, השאירו פרטים ונביא לכם שלט עד הבית","השאירו פרטים ונביא לכם שלט עד הבית",fb.me,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 3500, upper_bound: 3999",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000981},{""age"":""25-34"",""gender"":""female"",""percentage"":0.059988},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000649},{""age"":""18-24"",""gender"":""female"",""percentage"":0.016579},{""age"":""55-64"",""gender"":""male"",""percentage"":0.100551},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180959},{""age"":""65+"",""gender"":""male"",""percentage"":0.060859},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061301},{""age"":""35-44"",""gender"":""female"",""percentage"":0.074439},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001603},{""age"":""65+"",""gender"":""female"",""percentage"":0.037911},{""age"":""18-24"",""gender"":""male"",""percentage"":0.052997},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057045},{""age"":""35-44"",""gender"":""male"",""percentage"":0.162695},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000801},{""age"":""45-54"",""gender"":""male"",""percentage"":0.126829},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003661},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000152}","{""region"":""Unknown"",""percentage"":0.005015},{""region"":""Southern District"",""percentage"":0.205856},{""region"":""Central District"",""percentage"":0.269089},{""region"":""Northern District"",""percentage"":0.143819},{""region"":""Heifa"",""percentage"":0.118798},{""region"":""Tel Aviv"",""percentage"":0.161324},{""region"":""Jerusalem"",""percentage"":0.096099}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
346010414333711,109970322392972,"מפלגת הליכוד",2022-09-12,2022-09-12,2022-09-13,"מפלגת הליכוד","לליכוד דרושים: מרפסות וחלונות בכל רחבי הארץ!
רוצים לתלות אצלכם שלט? לחצו כאן, השאירו פרטים ונביא לכם שלט עד הבית","השאירו פרטים ונביא לכם שלט עד הבית",fb.me,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002502},{""age"":""25-34"",""gender"":""male"",""percentage"":0.111945},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002502},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000625},{""age"":""55-64"",""gender"":""female"",""percentage"":0.03252},{""age"":""45-54"",""gender"":""male"",""percentage"":0.103189},{""age"":""65+"",""gender"":""male"",""percentage"":0.125078},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095059},{""age"":""18-24"",""gender"":""female"",""percentage"":0.065666},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002502},{""age"":""18-24"",""gender"":""male"",""percentage"":0.217011},{""age"":""55-64"",""gender"":""male"",""percentage"":0.133834},{""age"":""65+"",""gender"":""female"",""percentage"":0.035022},{""age"":""45-54"",""gender"":""female"",""percentage"":0.030644},{""age"":""25-34"",""gender"":""female"",""percentage"":0.025641},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003127},{""age"":""35-44"",""gender"":""female"",""percentage"":0.012508},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000625}","{""region"":""Unknown"",""percentage"":0.024345},{""region"":""Southern District"",""percentage"":0.18789},{""region"":""Central District"",""percentage"":0.233458},{""region"":""Northern District"",""percentage"":0.139825},{""region"":""Heifa"",""percentage"":0.124844},{""region"":""Tel Aviv"",""percentage"":0.169164},{""region"":""Jerusalem"",""percentage"":0.120474}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
658943369181848,109970322392972,"מפלגת הליכוד",2022-09-12,2022-09-12,2022-09-13,"מפלגת הליכוד","לליכוד דרושים: מרפסות וחלונות בכל רחבי הארץ!
רוצים לתלות אצלכם שלט? לחצו כאן, השאירו פרטים ונביא לכם שלט עד הבית","השאירו פרטים ונביא לכם שלט עד הבית",fb.me,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001217},{""age"":""55-64"",""gender"":""female"",""percentage"":0.073001},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062714},{""age"":""45-54"",""gender"":""male"",""percentage"":0.130959},{""age"":""18-24"",""gender"":""female"",""percentage"":0.01637},{""age"":""55-64"",""gender"":""male"",""percentage"":0.114368},{""age"":""35-44"",""gender"":""male"",""percentage"":0.145006},{""age"":""65+"",""gender"":""male"",""percentage"":0.076319},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002323},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00188},{""age"":""65+"",""gender"":""female"",""percentage"":0.05287},{""age"":""25-34"",""gender"":""male"",""percentage"":0.156841},{""age"":""18-24"",""gender"":""male"",""percentage"":0.089481},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000664},{""age"":""35-44"",""gender"":""female"",""percentage"":0.043137},{""age"":""25-34"",""gender"":""female"",""percentage"":0.031634},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001106},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000111}","{""region"":""Unknown"",""percentage"":0.007389},{""region"":""Southern District"",""percentage"":0.191332},{""region"":""Central District"",""percentage"":0.258602},{""region"":""Northern District"",""percentage"":0.153948},{""region"":""Heifa"",""percentage"":0.116453},{""region"":""Tel Aviv"",""percentage"":0.175673},{""region"":""Jerusalem"",""percentage"":0.096603}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
630584641674836,109970322392972,"מפלגת הליכוד",2022-08-16,2022-08-17,2022-08-17,"מפלגת הליכוד","רק הליכוד יכול להקים ממשלה יציבה ולמנוע סבב בחירות שישי. אנחנו זקוקים לך!,רק הליכוד יכול להקים ממשלה יציבה ולמנוע סבב בחירות שישי. אנחנו זקוקים לך!,רק הליכוד יכול להקים ממשלה יציבה ולמנוע סבב בחירות שישי. אנחנו זקוקים לך!","עוד פרטים כאן>>,עוד פרטים כאן>>,עוד פרטים כאן>>",m.me,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000477},{""age"":""25-34"",""gender"":""male"",""percentage"":0.161183},{""age"":""35-44"",""gender"":""female"",""percentage"":0.048164},{""age"":""45-54"",""gender"":""male"",""percentage"":0.023844},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003815},{""age"":""45-54"",""gender"":""female"",""percentage"":0.02432},{""age"":""65+"",""gender"":""female"",""percentage"":0.06247},{""age"":""55-64"",""gender"":""female"",""percentage"":0.033858},{""age"":""25-34"",""gender"":""female"",""percentage"":0.278493},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000954},{""age"":""18-24"",""gender"":""male"",""percentage"":0.086791},{""age"":""18-24"",""gender"":""female"",""percentage"":0.146876},{""age"":""55-64"",""gender"":""male"",""percentage"":0.038627},{""age"":""35-44"",""gender"":""male"",""percentage"":0.044349},{""age"":""65+"",""gender"":""male"",""percentage"":0.043395},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000954},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001431}","{""region"":""Southern District"",""percentage"":0.253327},{""region"":""Central District"",""percentage"":0.179658},{""region"":""Northern District"",""percentage"":0.286597},{""region"":""Heifa"",""percentage"":0.083175},{""region"":""Tel Aviv"",""percentage"":0.103612},{""region"":""Jerusalem"",""percentage"":0.093631}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
1908491346022267,109970322392972,"מפלגת הליכוד",2022-08-10,2022-08-10,2022-08-10,"מפלגת הליכוד","מתפקדות ומתפקדי הליכוד
צאו להצביע בפריימריז 
הקלפיות פתוחות ביום ד' בין 09:00 ל-21:00 
צאו להצביע ולבחור את הרשימה הטובה ביותר 
כדי שננצח בבחירות 
ונביא ממשלה חזקה ויציבה","צאו להצביע ולבחור את הרשימה הטובה ביותר",tinyurl.com,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001523},{""age"":""65+"",""gender"":""female"",""percentage"":0.068513},{""age"":""55-64"",""gender"":""male"",""percentage"":0.080331},{""age"":""35-44"",""gender"":""female"",""percentage"":0.111578},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0116},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001233},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006453},{""age"":""25-34"",""gender"":""female"",""percentage"":0.088958},{""age"":""65+"",""gender"":""male"",""percentage"":0.074386},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001595},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110346},{""age"":""45-54"",""gender"":""female"",""percentage"":0.099181},{""age"":""55-64"",""gender"":""female"",""percentage"":0.079751},{""age"":""25-34"",""gender"":""male"",""percentage"":0.105851},{""age"":""35-44"",""gender"":""male"",""percentage"":0.142609},{""age"":""18-24"",""gender"":""female"",""percentage"":0.01363},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002465}","{""region"":""Southern District"",""percentage"":0.147342},{""region"":""Central District"",""percentage"":0.302476},{""region"":""Northern District"",""percentage"":0.138456},{""region"":""Heifa"",""percentage"":0.118864},{""region"":""Tel Aviv"",""percentage"":0.201894},{""region"":""Jerusalem"",""percentage"":0.090969}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
