ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
3742339672568438,137939329405400,מחדל23,2025-10-08,2025-10-08,2025-10-10,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!","אתה הראש אתה אשם",beactive.co.il,"אנחנו משקיעים את כל כוחנו מול מערכות חזקות ועשירות כדי להבטיח שנתניהו לא יברח מאשמתו בטבח הנורא. ⚠️ כדי להמשיך – אנחנו חייבים אתכם איתנו.","lower_bound: 1000000","lower_bound: 4500, upper_bound: 4999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""uselwtysawks47774z7l"",""percentage"":0.090917},{""age"":""45-54"",""gender"":""male"",""percentage"":0.08198},{""age"":""65+"",""gender"":""male"",""percentage"":0.027277},{""age"":""65+"",""gender"":""female"",""percentage"":0.031797},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00043},{""age"":""55-64"",""gender"":""male"",""percentage"":0.043512},{""age"":""55-64"",""gender"":""female"",""percentage"":0.039476},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001118},{""age"":""45-54"",""gender"":""female"",""percentage"":0.055233},{""age"":""18-24"",""gender"":""male"",""percentage"":0.084293},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001875},{""age"":""35-44"",""gender"":""male"",""percentage"":0.143421},{""age"":""35-44"",""gender"":""female"",""percentage"":0.075325},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001198},{""age"":""25-34"",""gender"":""male"",""percentage"":0.20904},{""age"":""25-34"",""gender"":""female"",""percentage"":0.111928},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000806},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000374}","{""region"":""Central District"",""__umapi_query_id"":""hszohcgrcp0wxkxhklrm"",""percentage"":0.167402},{""region"":""Heifa"",""percentage"":0.111571},{""region"":""Jerusalem"",""percentage"":0.18932},{""region"":""Northern District"",""percentage"":0.230526},{""region"":""Southern District"",""percentage"":0.133063},{""region"":""Tel Aviv"",""percentage"":0.168035},{""region"":""Unknown"",""percentage"":8.2e-5}","facebook,instagram","lower_bound: 1000001",he
2232127757266622,137939329405400,מחדל23,2025-10-08,2025-10-08,2025-10-09,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!",,beactive.co.il,,"lower_bound: 600000, upper_bound: 699999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""gg9bbtz0ifax8eohh4c6"",""percentage"":0.096454},{""age"":""45-54"",""gender"":""male"",""percentage"":0.073597},{""age"":""65+"",""gender"":""male"",""percentage"":0.021893},{""age"":""65+"",""gender"":""female"",""percentage"":0.025721},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000364},{""age"":""55-64"",""gender"":""male"",""percentage"":0.038704},{""age"":""55-64"",""gender"":""female"",""percentage"":0.033125},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001133},{""age"":""45-54"",""gender"":""female"",""percentage"":0.058262},{""age"":""18-24"",""gender"":""male"",""percentage"":0.09245},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0018},{""age"":""35-44"",""gender"":""male"",""percentage"":0.140498},{""age"":""35-44"",""gender"":""female"",""percentage"":0.083701},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001417},{""age"":""25-34"",""gender"":""male"",""percentage"":0.206688},{""age"":""25-34"",""gender"":""female"",""percentage"":0.122992},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000892},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000308}","{""region"":""Central District"",""__umapi_query_id"":""plvlbvh00278am9pevwl"",""percentage"":0.160803},{""region"":""Heifa"",""percentage"":0.107768},{""region"":""Jerusalem"",""percentage"":0.200988},{""region"":""Northern District"",""percentage"":0.229621},{""region"":""Southern District"",""percentage"":0.12435},{""region"":""Tel Aviv"",""percentage"":0.176414},{""region"":""Unknown"",""percentage"":5.6e-5}","facebook,instagram","lower_bound: 1000001",he
1118435477169536,137939329405400,מחדל23,2025-10-05,2025-10-05,2025-10-06,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!",,mehdal23.co.il,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""0uybj2mim4ki2fvbfop1"",""percentage"":0.105958},{""age"":""45-54"",""gender"":""male"",""percentage"":0.07048},{""age"":""65+"",""gender"":""male"",""percentage"":0.020058},{""age"":""65+"",""gender"":""female"",""percentage"":0.025995},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000247},{""age"":""55-64"",""gender"":""male"",""percentage"":0.034931},{""age"":""55-64"",""gender"":""female"",""percentage"":0.032468},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000505},{""age"":""45-54"",""gender"":""female"",""percentage"":0.055638},{""age"":""18-24"",""gender"":""male"",""percentage"":0.084189},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001247},{""age"":""35-44"",""gender"":""male"",""percentage"":0.141765},{""age"":""35-44"",""gender"":""female"",""percentage"":0.087106},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001402},{""age"":""25-34"",""gender"":""male"",""percentage"":0.20605},{""age"":""25-34"",""gender"":""female"",""percentage"":0.130973},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000845},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000144}","{""region"":""Central District"",""__umapi_query_id"":""bpfy08524jv2hrzjtvw3"",""percentage"":0.142741},{""region"":""Heifa"",""percentage"":0.108301},{""region"":""Jerusalem"",""percentage"":0.184303},{""region"":""Northern District"",""percentage"":0.236951},{""region"":""Quneitra Governorate"",""percentage"":6.2e-5},{""region"":""Southern District"",""percentage"":0.12337},{""region"":""Tel Aviv"",""percentage"":0.20423},{""region"":""Unknown"",""percentage"":4.1e-5}","facebook,instagram","lower_bound: 1000001",he
1507039453945179,137939329405400,מחדל23,2025-10-05,2025-10-05,2025-10-09,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!",,mehdal23.co.il,,"lower_bound: 1000000","lower_bound: 3500, upper_bound: 3999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""5j89sg7opjqpquvw8o3f"",""percentage"":0.072961},{""age"":""45-54"",""gender"":""male"",""percentage"":0.081713},{""age"":""65+"",""gender"":""male"",""percentage"":0.026296},{""age"":""65+"",""gender"":""female"",""percentage"":0.031389},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000428},{""age"":""55-64"",""gender"":""male"",""percentage"":0.041795},{""age"":""55-64"",""gender"":""female"",""percentage"":0.040325},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00111},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061563},{""age"":""18-24"",""gender"":""male"",""percentage"":0.081322},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001769},{""age"":""35-44"",""gender"":""male"",""percentage"":0.156525},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085307},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001328},{""age"":""25-34"",""gender"":""male"",""percentage"":0.204621},{""age"":""25-34"",""gender"":""female"",""percentage"":0.110567},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00062},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00036}","{""region"":""Central District"",""__umapi_query_id"":""bdfw5pkz7xp28vdh8ht8"",""percentage"":0.159761},{""region"":""Heifa"",""percentage"":0.104991},{""region"":""Jerusalem"",""percentage"":0.1957},{""region"":""Northern District"",""percentage"":0.203416},{""region"":""Quneitra Governorate"",""percentage"":4.8e-5},{""region"":""Southern District"",""percentage"":0.12693},{""region"":""Tel Aviv"",""percentage"":0.209043},{""region"":""Unknown"",""percentage"":0.000108},{""region"":""West Bank"",""percentage"":3.0e-6}","facebook,instagram","lower_bound: 1000001",he
1480501453252828,137939329405400,מחדל23,2025-10-05,2025-10-05,2025-10-09,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!",,,,"lower_bound: 1000000","lower_bound: 4500, upper_bound: 4999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""2zob97r1ntn59xvlp2ap"",""percentage"":0.074633},{""age"":""45-54"",""gender"":""male"",""percentage"":0.08904},{""age"":""65+"",""gender"":""male"",""percentage"":0.031443},{""age"":""65+"",""gender"":""female"",""percentage"":0.035579},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000423},{""age"":""55-64"",""gender"":""male"",""percentage"":0.050125},{""age"":""55-64"",""gender"":""female"",""percentage"":0.039305},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001091},{""age"":""45-54"",""gender"":""female"",""percentage"":0.05637},{""age"":""18-24"",""gender"":""male"",""percentage"":0.075641},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001774},{""age"":""35-44"",""gender"":""male"",""percentage"":0.1588},{""age"":""35-44"",""gender"":""female"",""percentage"":0.075128},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001235},{""age"":""25-34"",""gender"":""male"",""percentage"":0.207088},{""age"":""25-34"",""gender"":""female"",""percentage"":0.101241},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000669},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000416}","{""region"":""Central District"",""__umapi_query_id"":""wk2y9vwj4trwntxomu6j"",""percentage"":0.16027},{""region"":""Heifa"",""percentage"":0.104627},{""region"":""Jerusalem"",""percentage"":0.189811},{""region"":""Northern District"",""percentage"":0.209367},{""region"":""Quneitra Governorate"",""percentage"":6.0e-5},{""region"":""Southern District"",""percentage"":0.1347},{""region"":""Tel Aviv"",""percentage"":0.20104},{""region"":""Unknown"",""percentage"":0.000123}","facebook,instagram","lower_bound: 1000001",he
1985237818901063,137939329405400,מחדל23,2025-10-05,2025-10-05,2025-10-06,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""2tu8a34yhypk2aokqy1a"",""percentage"":0.081889},{""age"":""45-54"",""gender"":""male"",""percentage"":0.084165},{""age"":""65+"",""gender"":""male"",""percentage"":0.028015},{""age"":""65+"",""gender"":""female"",""percentage"":0.045133},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000339},{""age"":""55-64"",""gender"":""male"",""percentage"":0.042906},{""age"":""55-64"",""gender"":""female"",""percentage"":0.04431},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000775},{""age"":""45-54"",""gender"":""female"",""percentage"":0.064528},{""age"":""18-24"",""gender"":""male"",""percentage"":0.070823},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001211},{""age"":""35-44"",""gender"":""male"",""percentage"":0.146586},{""age"":""35-44"",""gender"":""female"",""percentage"":0.088596},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000969},{""age"":""25-34"",""gender"":""male"",""percentage"":0.187385},{""age"":""25-34"",""gender"":""female"",""percentage"":0.111671},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00046},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000242}","{""region"":""Central District"",""__umapi_query_id"":""74drpdmn5jszb2ht8rtq"",""percentage"":0.150701},{""region"":""Heifa"",""percentage"":0.106886},{""region"":""Jerusalem"",""percentage"":0.180245},{""region"":""Northern District"",""percentage"":0.231171},{""region"":""Quneitra Governorate"",""percentage"":9.8e-5},{""region"":""Southern District"",""percentage"":0.124432},{""region"":""Tel Aviv"",""percentage"":0.206417},{""region"":""Unknown"",""percentage"":2.4e-5},{""region"":""West Bank"",""percentage"":2.4e-5}","facebook,instagram","lower_bound: 1000001",he
1117500690497654,137939329405400,מחדל23,2025-10-03,2025-10-03,2025-10-06,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!",,,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 5000, upper_bound: 5999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ombcz31op0d67kwocuxh"",""percentage"":0.127189},{""age"":""45-54"",""gender"":""male"",""percentage"":0.054511},{""age"":""65+"",""gender"":""male"",""percentage"":0.045553},{""age"":""65+"",""gender"":""female"",""percentage"":0.064931},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000662},{""age"":""55-64"",""gender"":""male"",""percentage"":0.036196},{""age"":""55-64"",""gender"":""female"",""percentage"":0.041113},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001735},{""age"":""45-54"",""gender"":""female"",""percentage"":0.057737},{""age"":""18-24"",""gender"":""male"",""percentage"":0.110063},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001951},{""age"":""35-44"",""gender"":""male"",""percentage"":0.083399},{""age"":""35-44"",""gender"":""female"",""percentage"":0.074632},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001639},{""age"":""25-34"",""gender"":""male"",""percentage"":0.155723},{""age"":""25-34"",""gender"":""female"",""percentage"":0.140406},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001685},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000875}","{""region"":""Central District"",""__umapi_query_id"":""gjdw0wndzj7bb94pr3h6"",""percentage"":0.235256},{""region"":""Heifa"",""percentage"":0.126238},{""region"":""Jerusalem"",""percentage"":0.125725},{""region"":""Northern District"",""percentage"":0.174161},{""region"":""Quneitra Governorate"",""percentage"":4.7e-5},{""region"":""Southern District"",""percentage"":0.134829},{""region"":""Tel Aviv"",""percentage"":0.203067},{""region"":""Unknown"",""percentage"":0.000679}","facebook,instagram","lower_bound: 1000001",he
1528455218292155,137939329405400,מחדל23,2025-09-29,2025-09-29,2025-10-06,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!",,mehdal23.co.il,,"lower_bound: 1000000","lower_bound: 30000, upper_bound: 34999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ak867rfjfsa86me3ocsv"",""percentage"":0.129147},{""age"":""45-54"",""gender"":""male"",""percentage"":0.054886},{""age"":""65+"",""gender"":""male"",""percentage"":0.032042},{""age"":""65+"",""gender"":""female"",""percentage"":0.045354},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000588},{""age"":""55-64"",""gender"":""male"",""percentage"":0.034534},{""age"":""55-64"",""gender"":""female"",""percentage"":0.037372},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001568},{""age"":""45-54"",""gender"":""female"",""percentage"":0.059748},{""age"":""18-24"",""gender"":""male"",""percentage"":0.09894},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002281},{""age"":""35-44"",""gender"":""male"",""percentage"":0.087983},{""age"":""35-44"",""gender"":""female"",""percentage"":0.083923},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001694},{""age"":""25-34"",""gender"":""male"",""percentage"":0.167935},{""age"":""25-34"",""gender"":""female"",""percentage"":0.159888},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001514},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000602}","{""region"":""Al-Hasakah Governorate"",""__umapi_query_id"":""er6ccjo2n5bjiw5ty8kj"",""percentage"":1.0e-6},{""region"":""Latakia Governorate"",""percentage"":3.0e-6},{""region"":""Unknown"",""percentage"":0.000371},{""region"":""Tel Aviv"",""percentage"":0.209643},{""region"":""Tartus Governorate"",""percentage"":1.0e-6},{""region"":""Southern District"",""percentage"":0.126018},{""region"":""Quneitra Governorate"",""percentage"":0.000643},{""region"":""Northern District"",""percentage"":0.192984},{""region"":""Jerusalem"",""percentage"":0.134159},{""region"":""Aleppo Governorate"",""percentage"":4.0e-6},{""region"":""Homs Governorate"",""percentage"":1.0e-6},{""region"":""Heifa"",""percentage"":0.122332},{""region"":""Hama Governorate"",""percentage"":1.0e-6},{""region"":""Daraa Governorate"",""percentage"":1.0e-6},{""region"":""Damascus Governorate"",""percentage"":4.0e-6},{""region"":""Central District"",""percentage"":0.213832},{""region"":""Ar-Raqqah Governorate"",""percentage"":0},{""region"":""West Bank"",""percentage"":1.0e-6}","facebook,instagram","lower_bound: 1000001",he
1356199176124911,137939329405400,מחדל23,2025-09-27,2025-09-28,2025-09-30,מחדל23,"לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!,לא נשכח. לא תברח. אתה הראש – אתה אשם!",,mehdal23.co.il,,"lower_bound: 600000, upper_bound: 699999","lower_bound: 3000, upper_bound: 3499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ahqvg6da2vdum0qcc7cj"",""percentage"":0.085093},{""age"":""45-54"",""gender"":""male"",""percentage"":0.08432},{""age"":""65+"",""gender"":""male"",""percentage"":0.028003},{""age"":""65+"",""gender"":""female"",""percentage"":0.030689},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000406},{""age"":""55-64"",""gender"":""male"",""percentage"":0.045784},{""age"":""55-64"",""gender"":""female"",""percentage"":0.037555},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001083},{""age"":""45-54"",""gender"":""female"",""percentage"":0.0551},{""age"":""18-24"",""gender"":""male"",""percentage"":0.083076},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001671},{""age"":""35-44"",""gender"":""male"",""percentage"":0.156586},{""age"":""35-44"",""gender"":""female"",""percentage"":0.076142},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001158},{""age"":""25-34"",""gender"":""male"",""percentage"":0.203429},{""age"":""25-34"",""gender"":""female"",""percentage"":0.108898},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000652},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000355}","{""region"":""Aleppo Governorate"",""__umapi_query_id"":""u751fj3abt4amat6hxw4"",""percentage"":2.0e-6},{""region"":""Central District"",""percentage"":0.160571},{""region"":""Damascus Governorate"",""percentage"":2.0e-6},{""region"":""Daraa Governorate"",""percentage"":5.0e-6},{""region"":""Heifa"",""percentage"":0.116188},{""region"":""Homs Governorate"",""percentage"":3.0e-6},{""region"":""Jerusalem"",""percentage"":0.184453},{""region"":""Latakia Governorate"",""percentage"":2.0e-6},{""region"":""Northern District"",""percentage"":0.227573},{""region"":""Quneitra Governorate"",""percentage"":0.00054},{""region"":""Southern District"",""percentage"":0.134502},{""region"":""Tel Aviv"",""percentage"":0.176073},{""region"":""Unknown"",""percentage"":8.8e-5}","facebook,instagram","lower_bound: 1000001",he
1241613157561053,137939329405400,מחדל23,2025-05-25,2025-05-25,2025-05-29,מחדל23,"נתניהו - אתה הראש. אתה אשם. מחדל23 קרה באשמתך!
חתמו עכשיו >> https://mehdal23.co.il/,נתניהו - אתה הראש. אתה אשם. מחדל23 קרה באשמתך!
חתמו עכשיו >> https://mehdal23.co.il/","נתניהו אשם במחדל 23! חתמו עכשיו,נתניהו אשם במחדל 23! חתמו עכשיו",mehdal23.co.il,,"lower_bound: 600000, upper_bound: 699999","lower_bound: 6000, upper_bound: 6999",ILS,"{""age"":""13-17"",""gender"":""female"",""percentage"":2.8e-5},{""age"":""13-17"",""gender"":""male"",""percentage"":2.8e-5},{""age"":""13-17"",""gender"":""unknown"",""percentage"":0.00122},{""age"":""18-24"",""gender"":""female"",""percentage"":0.144481},{""age"":""18-24"",""gender"":""male"",""percentage"":0.262355},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.0017},{""age"":""25-34"",""gender"":""female"",""percentage"":0.208756},{""age"":""25-34"",""gender"":""male"",""percentage"":0.37985},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001582}","{""region"":""Central District"",""percentage"":0.153318},{""region"":""Heifa"",""percentage"":0.110335},{""region"":""Jerusalem"",""percentage"":0.264619},{""region"":""Northern District"",""percentage"":0.180063},{""region"":""Southern District"",""percentage"":0.128806},{""region"":""Tel Aviv"",""percentage"":0.162328},{""region"":""Unknown"",""percentage"":0.00053}",facebook,"lower_bound: 1000001",he
